id,gender,chipTime_16k,city,year,chipTime_21k,chipTime_32k,chipTime_42k,age,pace_16k,pace_21k,pace_32k,pace_change_16k_21k,pace_change_21k_32k
3766,0,4871.0,0,2025,6078.0,9952.0,,0.0,304.4375,288.0568720379147,311.0,16.380627962085327,-22.943127962085327
8503,0,4656.0,1,2024,6215.0,9968.0,,2.0,291.0,294.54976303317534,311.5,-3.5497630331753385,-16.95023696682466
3690,0,4437.0,0,2025,5961.0,9979.0,,10.0,277.3125,282.5118483412322,311.84375,-5.1993483412322234,-29.331901658767777
28,0,4263.0,0,2024,6599.0,9992.0,18801.0,3.0,266.4375,312.74881516587675,312.25,-46.31131516587675,0.49881516587674923
55,0,4511.0,0,2024,6050.0,10015.0,,2.0,281.9375,286.7298578199052,312.96875,-4.792357819905192,-26.23889218009481
8748,0,6965.0,1,2024,7324.0,10024.0,,2.0,435.3125,347.10900473933646,313.25,88.20349526066354,33.859004739336456
102,0,4739.0,0,2024,5918.0,10030.0,13717.0,6.0,296.1875,280.4739336492891,313.4375,15.713566350710892,-32.96356635071089
111,0,4842.0,0,2024,6416.0,10048.0,13628.0,3.0,302.625,304.07582938388623,314.0,-1.45082938388623,-9.92417061611377
7643,1,8373.0,0,2025,10986.0,10049.0,,2.0,523.3125,520.6635071090047,314.03125,2.6489928909952596,206.63225710900474
15011,0,5250.0,4,2024,6550.0,10056.0,14360.0,3.0,328.125,310.42654028436016,314.25,17.698459715639842,-3.823459715639842
3994,0,4597.0,0,2025,5735.0,10068.0,,1.0,287.3125,271.80094786729853,314.625,15.511552132701468,-42.82405213270147
3716,0,4650.0,0,2025,6550.0,10072.0,,2.0,290.625,310.42654028436016,314.75,-19.801540284360158,-4.323459715639842
31,0,4243.0,0,2024,5821.0,10080.0,,5.0,265.1875,275.8767772511848,315.0,-10.68927725118482,-39.12322274881518
166,0,4855.0,0,2024,6831.0,10084.0,17056.0,1.0,303.4375,323.74407582938386,315.125,-20.30657582938386,8.61907582938386
3829,0,4908.0,0,2025,6233.0,10091.0,,3.0,306.75,295.4028436018957,315.34375,11.347156398104289,-19.94090639810429
105,0,4821.0,0,2024,6473.0,10099.0,14538.0,3.0,301.3125,306.7772511848341,315.59375,-5.4647511848340855,-8.816498815165914
3801,0,5053.0,0,2025,6205.0,10102.0,,2.0,315.8125,294.07582938388623,315.6875,21.73667061611377,-21.61167061611377
133,0,4941.0,0,2024,6566.0,10104.0,,2.0,308.8125,311.18483412322274,315.75,-2.3723341232227426,-4.565165876777257
112,0,4832.0,0,2024,6263.0,10105.0,13747.0,0.0,302.0,296.82464454976304,315.78125,5.175355450236964,-18.956605450236964
3729,0,4732.0,0,2025,6175.0,10106.0,,0.0,295.75,292.65402843601896,315.8125,3.0959715639810383,-23.15847156398104
14959,0,4417.0,4,2024,6181.0,10125.0,14416.0,2.0,276.0625,292.9383886255924,316.40625,-16.87588862559238,-23.46786137440762
52,0,4429.0,0,2024,6242.0,10127.0,15991.0,5.0,276.8125,295.8293838862559,316.46875,-19.016883886255926,-20.639366113744074
210,0,5011.0,0,2024,6943.0,10137.0,14303.0,3.0,313.1875,329.0521327014218,316.78125,-15.864632701421783,12.270882701421783
15591,0,4506.0,5,2024,6106.0,10147.0,15181.0,3.0,281.625,289.38388625592415,317.09375,-7.758886255924153,-27.709863744075847
15194,0,6380.0,4,2024,6810.0,10159.0,13419.0,3.0,398.75,322.74881516587675,317.46875,76.00118483412325,5.280065165876749
8539,0,5143.0,1,2024,6759.0,10178.0,14221.0,3.0,321.4375,320.33175355450237,318.0625,1.1057464454976298,2.26925355450237
7867,0,8790.0,0,2025,7138.0,10179.0,,4.0,549.375,338.2938388625592,318.09375,211.0811611374408,20.2000888625592
15610,0,4967.0,5,2024,6252.0,10209.0,14081.0,2.0,310.4375,296.303317535545,319.03125,14.134182464455023,-22.727932464455023
3733,0,4756.0,0,2025,6820.0,10230.0,,3.0,297.25,323.22274881516586,319.6875,-25.972748815165858,3.5352488151658576
376,0,5406.0,0,2024,8195.0,10231.0,,6.0,337.875,388.38862559241704,319.71875,-50.51362559241704,68.66987559241704
4133,0,4992.0,0,2025,6403.0,10233.0,,7.0,312.0,303.4597156398104,319.78125,8.540284360189617,-16.321534360189617
15612,0,5006.0,5,2024,6382.0,10238.0,,5.0,312.875,302.4644549763033,319.9375,10.410545023696727,-17.473045023696727
8515,0,4812.0,1,2024,6172.0,10240.0,16312.0,4.0,300.75,292.5118483412322,320.0,8.238151658767777,-27.488151658767777
3702,0,4555.0,0,2025,6375.0,10240.0,,7.0,284.6875,302.1327014218009,320.0,-17.445201421800903,-17.867298578199097
14351,0,5539.0,3,2024,7134.0,10243.0,,1.0,346.1875,338.10426540284357,320.09375,8.083234597156434,18.010515402843566
14310,0,4813.0,3,2024,6170.0,10268.0,,4.0,300.8125,292.4170616113744,320.875,8.395438388625621,-28.45793838862562
3727,0,4714.0,0,2025,11122.0,10272.0,,2.0,294.625,527.1090047393365,321.0,-232.48400473933646,206.10900473933646
3742,0,4785.0,0,2025,6404.0,10275.0,,4.0,299.0625,303.50710900473933,321.09375,-4.444609004739334,-17.586640995260666
14968,0,4648.0,4,2024,6426.0,10287.0,,5.0,290.5,304.54976303317534,321.46875,-14.049763033175338,-16.91898696682466
4698,0,6299.0,0,2025,11582.0,10298.0,,2.0,393.6875,548.909952606635,321.8125,-155.222452606635,227.097452606635
4097,0,4849.0,0,2025,6345.0,10315.0,,3.0,303.0625,300.71090047393363,322.34375,2.351599526066366,-21.632849526066366
15600,0,4747.0,5,2024,6159.0,10316.0,15204.0,4.0,296.6875,291.8957345971564,322.375,4.791765402843623,-30.479265402843623
3770,0,4857.0,0,2025,6475.0,10359.0,,3.0,303.5625,306.87203791469193,323.71875,-3.30953791469193,-16.84671208530807
15650,0,5341.0,5,2024,6582.0,10359.0,14267.0,6.0,333.8125,311.94312796208527,323.71875,21.86937203791473,-11.77562203791473
3722,0,4684.0,0,2025,6465.0,10362.0,,5.0,292.75,306.3981042654028,323.8125,-13.648104265402822,-17.41439573459718
13820,0,4756.0,2,2024,6407.0,10363.0,,7.0,297.25,303.6492890995261,323.84375,-6.399289099526072,-20.194460900473928
16105,0,7848.0,5,2024,6515.0,10364.0,23468.0,2.0,490.5,308.7677725118483,323.875,181.7322274881517,-15.107227488151693
14992,0,5004.0,4,2024,6416.0,10368.0,13896.0,2.0,312.75,304.07582938388623,324.0,8.67417061611377,-19.92417061611377
7804,0,9079.0,0,2025,12724.0,10369.0,,4.0,567.4375,603.0331753554502,324.03125,-35.595675355450226,279.0019253554502
8399,0,8992.0,0,2025,13220.0,10372.0,,2.0,562.0,626.5402843601895,324.125,-64.5402843601895,302.4152843601895
3726,0,4674.0,0,2025,6503.0,10377.0,,2.0,292.125,308.1990521327014,324.28125,-16.07405213270141,-16.08219786729859
3977,0,5347.0,0,2025,6874.0,10390.0,,1.0,334.1875,325.781990521327,324.6875,8.405509478673025,1.0944905213269749
78,0,4698.0,0,2024,6024.0,10401.0,14787.0,2.0,293.625,285.49763033175356,325.03125,8.127369668246445,-39.533619668246445
15710,0,5732.0,5,2024,6821.0,10411.0,,3.0,358.25,323.27014218009475,325.34375,34.97985781990525,-2.0736078199052486
15590,0,4478.0,5,2024,5987.0,10436.0,26761.0,2.0,279.875,283.74407582938386,326.125,-3.86907582938386,-42.38092417061614
202,0,5161.0,0,2024,6688.0,10451.0,,2.0,322.5625,316.9668246445497,326.59375,5.5956753554502825,-9.626925355450282
66,0,4590.0,0,2024,6542.0,10462.0,14283.0,3.0,286.875,310.0473933649289,326.9375,-23.172393364928894,-16.890106635071106
