,id,chipTime_16k,year,chipTime_21k,chipTime_32k,chipTime_42k,pace_16k,pace_21k,pace_32k,pace_change_16k_21k,pace_change_21k_32k,city_Baguio,city_Cagayan de Oro,city_Cebu,city_Davao,city_Iloilo-Bacolod,city_Manila,gender_Female,gender_Male,age_17 an,age_18-24,age_20-24,age_25-29,age_30-34,age_35-39,age_40-44,age_45-49,age_50-54,age_55-59,age_60-64,age_65-69,age_70+ M,age_70-74,age_75-79,age_U
37,14292,4381.0,2024,5655.0,9074.0,11786.0,273.8125,268.0094786729858,283.5625,5.803021327014221,-15.553021327014221,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
38,14293,4430.0,2024,5889.0,9098.0,12408.0,276.875,279.0995260663507,284.3125,-2.224526066350677,-5.212973933649323,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
39,14287,4126.0,2024,5502.0,9099.0,,257.875,260.7582938388625,284.34375,-2.883293838862528,-23.585456161137472,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
40,33,4292.0,2024,5713.0,9152.0,13026.0,268.25,270.7582938388625,286.0,-2.508293838862528,-15.241706161137472,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
41,15587,4444.0,2024,5788.0,9160.0,,277.75,274.3127962085308,286.25,3.4372037914691873,-11.937203791469187,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
42,13810,4342.0,2024,6660.0,9177.0,,271.375,315.63981042654024,286.78125,-44.26481042654024,28.858560426540237,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
43,21,4191.0,2024,5742.0,9224.0,12667.0,261.9375,272.1327014218009,288.25,-10.195201421800903,-16.117298578199097,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
44,15597,4690.0,2024,5906.0,9250.0,13877.0,293.125,279.90521327014216,289.0625,13.219786729857844,-9.157286729857844,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
45,13818,4688.0,2024,5779.0,9257.0,,293.0,273.8862559241706,289.28125,19.113744075829402,-15.394994075829402,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
46,3659,3960.0,2025,6945.0,9262.0,,247.5,329.14691943127957,289.4375,-81.64691943127957,39.70941943127957,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
47,15606,4889.0,2024,6136.0,9264.0,,305.5625,290.8056872037914,289.5,14.756812796208578,1.3056872037914218,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
48,30,4271.0,2024,5831.0,9271.0,12700.0,266.9375,276.3507109004739,289.71875,-9.413210900473928,-13.368039099526072,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
49,39,4324.0,2024,5841.0,9288.0,,270.25,276.82464454976304,290.25,-6.574644549763036,-13.425355450236964,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
50,176,5094.0,2024,6153.0,9304.0,,318.375,291.6113744075829,290.75,26.7636255924171,0.8613744075829004,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,3683,4372.0,2025,5814.0,9309.0,,273.25,275.54502369668245,290.90625,-2.295023696682449,-15.361226303317551,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
52,3894,4598.0,2025,5923.0,9313.0,,287.375,280.71090047393363,291.03125,6.664099526066366,-10.320349526066366,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
53,6108,6751.0,2025,5900.0,9327.0,,421.9375,279.6208530805687,291.46875,142.31664691943132,-11.84789691943132,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
54,5547,6904.0,2025,9508.0,9345.0,,431.5,450.6161137440758,292.03125,-19.11611374407579,158.5848637440758,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55,53,4430.0,2024,6068.0,9369.0,15883.0,276.875,287.58293838862556,292.78125,-10.707938388625564,-5.198311611374436,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
56,63,4587.0,2024,6136.0,9429.0,28060.0,286.6875,290.8056872037914,294.65625,-4.118187203791422,-3.850562796208578,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
57,8533,5091.0,2024,5801.0,9441.0,14068.0,318.1875,274.9289099526066,295.03125,43.2585900473934,-20.102340047393398,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
58,3705,4538.0,2025,5898.0,9505.0,,283.625,279.5260663507109,297.03125,4.098933649289108,-17.50518364928911,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
59,14962,4499.0,2024,6139.0,9516.0,,281.1875,290.94786729857816,297.375,-9.76036729857816,-6.42713270142184,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
